WKT,GEOID,NAME,variable,estimate,moe
"POLYGON ((-77.036451 38.934966,-77.036447 38.937427,-77.03391 38.937387,-77.03273 38.937078,-77.032732 38.934121,-77.032735 38.931868,-77.036456 38.933288,-77.036451 38.934966))","11001002801","Census Tract 28.01; District of Columbia; District of Columbia",B23025_005,45,64
"POLYGON ((-77.036451 38.934966,-77.036447 38.937427,-77.03391 38.937387,-77.03273 38.937078,-77.032732 38.934121,-77.032735 38.931868,-77.036456 38.933288,-77.036451 38.934966))","11001002801","Census Tract 28.01; District of Columbia; District of Columbia",B25001_001,1916,204
"POLYGON ((-77.036451 38.934966,-77.036447 38.937427,-77.03391 38.937387,-77.03273 38.937078,-77.032732 38.934121,-77.032735 38.931868,-77.036456 38.933288,-77.036451 38.934966))","11001002801","Census Tract 28.01; District of Columbia; District of Columbia",B25002_003,90,79
"POLYGON ((-77.036451 38.934966,-77.036447 38.937427,-77.03391 38.937387,-77.03273 38.937078,-77.032732 38.934121,-77.032735 38.931868,-77.036456 38.933288,-77.036451 38.934966))","11001002801","Census Tract 28.01; District of Columbia; District of Columbia",B25003_002,450,128
"POLYGON ((-77.036451 38.934966,-77.036447 38.937427,-77.03391 38.937387,-77.03273 38.937078,-77.032732 38.934121,-77.032735 38.931868,-77.036456 38.933288,-77.036451 38.934966))","11001002801","Census Tract 28.01; District of Columbia; District of Columbia",B25003_003,1376,256
"POLYGON ((-77.036451 38.934966,-77.036447 38.937427,-77.03391 38.937387,-77.03273 38.937078,-77.032732 38.934121,-77.032735 38.931868,-77.036456 38.933288,-77.036451 38.934966))","11001002801","Census Tract 28.01; District of Columbia; District of Columbia",B25064_001,1906,165
"POLYGON ((-77.046268 38.916596,-77.044781 38.919052,-77.044398 38.919664,-77.043143 38.922334,-77.042684 38.922661,-77.041704 38.919659,-77.041656 38.91678,-77.043436 38.915888,-77.046088 38.914434,-77.046285 38.915991,-77.046268 38.916596))","11001004002","Census Tract 40.02; District of Columbia; District of Columbia",B01003_001,3291,557
"POLYGON ((-77.046268 38.916596,-77.044781 38.919052,-77.044398 38.919664,-77.043143 38.922334,-77.042684 38.922661,-77.041704 38.919659,-77.041656 38.91678,-77.043436 38.915888,-77.046088 38.914434,-77.046285 38.915991,-77.046268 38.916596))","11001004002","Census Tract 40.02; District of Columbia; District of Columbia",B03002_003,2097,468
"POLYGON ((-77.046268 38.916596,-77.044781 38.919052,-77.044398 38.919664,-77.043143 38.922334,-77.042684 38.922661,-77.041704 38.919659,-77.041656 38.91678,-77.043436 38.915888,-77.046088 38.914434,-77.046285 38.915991,-77.046268 38.916596))","11001004002","Census Tract 40.02; District of Columbia; District of Columbia",B03002_004,167,128
"POLYGON ((-77.046268 38.916596,-77.044781 38.919052,-77.044398 38.919664,-77.043143 38.922334,-77.042684 38.922661,-77.041704 38.919659,-77.041656 38.91678,-77.043436 38.915888,-77.046088 38.914434,-77.046285 38.915991,-77.046268 38.916596))","11001004002","Census Tract 40.02; District of Columbia; District of Columbia",B03002_012,510,250
