tract,year,shift,total_crimes,violent_crimes,property_crimes,nearest_station,dist_to_nearest_metro,name,nearest_station_id,stations_within_400m,stations_within_800m,line,above_ground,transfer_station,total_population,median_household_income,log_pop,pct_white,pct_black_nh,pct_hispanic,pct_bachelors_only,pct_graduate,pct_poverty,pct_unemployed,pct_single_parent,pct_renter,pct_vacant,red_line,green_line,yellow_line,blue_line,orange_line,silver_line,blue_orange_silver_line,green_yellow_line
"Census Tract 68.01, District of Columbia, District of Columbia",2020,EVENING,45,4,41,Stadium Armory,286.0979034237934,Stadium Armory,MetroStnPt_31,1,1,"blue, orange, silver",1,0,2528,109863,7.8351837552667485,0.4513449367088608,0.2713607594936709,0.09414556962025317,0.2120253164556962,0.32436708860759494,0.1495253164556962,0.043908227848101264,0.09384460141271443,0.32860938883968116,0.12223206377325066,0,0,0,1,1,1,1,0
"Census Tract 74.06, District of Columbia, District of Columbia",2020,EVENING,30,12,18,Anacostia,957.9895030983489,Anacostia,MetroStnPt_39,0,0,green,0,0,4201,23125,8.343077871169383,7.141156867412521e-4,0.8636039038324208,0.06308021899547726,0.05498690787907641,0.015710545108307546,0.5163056415139252,0.07998095691502023,0.6079593564775614,0.8326756116811366,0.06787687450670876,0,1,0,0,0,0,0,1
"Census Tract 75.03, District of Columbia, District of Columbia",2020,EVENING,95,22,73,Anacostia,732.2384360147928,Anacostia,MetroStnPt_39,0,1,green,0,0,2716,35000,7.906915488678587,0.0821060382916053,0.8729749631811488,0.044182621502209134,0.07069219440353461,0.04823269513991164,0.3391016200294551,0.07253313696612666,0.34615384615384615,0.5072164948453608,0.16907216494845362,0,1,0,0,0,0,0,1
"Census Tract 77.09, District of Columbia, District of Columbia",2020,EVENING,41,11,30,Stadium Armory,1310.3814239232215,Stadium Armory,MetroStnPt_31,0,0,"blue, orange, silver",1,0,2157,27798,7.676473646389156,0.011126564673157162,0.9313861845155308,0.010199350950394067,0.06397774687065369,0.06722299490032453,0.31803430690774226,0.050533147890588784,0.224976167778837,0.7365269461077845,0.10265183917878529,0,0,0,1,1,1,1,0
"Census Tract 79.03, District of Columbia, District of Columbia",2020,EVENING,45,8,37,Stadium Armory,1101.1330081593153,Stadium Armory,MetroStnPt_31,0,0,"blue, orange, silver",1,0,2031,98654,7.616283561580385,0.22156573116691286,0.7159034958148696,0.022648941408173313,0.12900049236829148,0.19743968488429345,0.1137370753323486,0.043328409650418516,0.24396782841823056,0.26453143534994067,0.11506524317912219,0,0,0,1,1,1,1,0
"Census Tract 97, District of Columbia, District of Columbia",2020,EVENING,23,6,17,Congress Heights,1288.6760033899047,Congress Heights,MetroStnPt_40,0,0,green,0,0,3279,NA,8.095293776844649,0.019518145776151265,0.9484598963098506,0.02958218969197926,0.0359865812747789,0.15584019518145775,0.21927416895394938,0.08203720646538579,0.171760391198044,0.5329577464788733,0.07830985915492958,0,1,0,0,0,0,0,1
"Census Tract 98.07, District of Columbia, District of Columbia",2020,EVENING,68,20,48,Congress Heights,2722.2366321767245,Congress Heights,MetroStnPt_40,0,0,green,0,0,3514,55000,8.164510268747042,0.031018782014797953,0.8867387592487194,0.006545247581104155,0.0765509391007399,0.06402959590210586,0.18468981217985203,0.058622652248150255,0.12677878395860284,0.6298850574712643,0.11149425287356322,0,1,0,0,0,0,0,1
"Census Tract 99.07, District of Columbia, District of Columbia",2020,EVENING,32,9,23,Benning Road,909.4525872192479,Benning Road,MetroStnPt_29,0,0,"blue, silver",0,0,2942,37000,7.9868449011613825,0.004078857919782461,0.9255608429639701,0.07036029911624746,0.039089055064581914,0.056764106050305914,0.2974167233174711,0.07477906186267845,0.4535353535353535,0.727865796831314,0.07735321528424977,0,0,0,1,0,1,1,0
"Census Tract 28.02, District of Columbia, District of Columbia",2020,EVENING,162,20,142,Columbia Heights,253.49814594442174,Columbia Heights,MetroStnPt_9,1,1,green,0,0,5063,72582,8.529714471969909,0.30950029626703535,0.2190400948054513,0.306142603199684,0.2135097768121667,0.2982421489235631,0.15781157416551453,0.05411811179142801,0.11428571428571428,0.7761368052856588,0.020598523124757094,0,1,0,0,0,0,0,1
"Census Tract 9.04, District of Columbia, District of Columbia",2020,EVENING,39,1,38,Tenleytown-AU,2392.0951089879763,Tenleytown-AU,MetroStnPt_4,0,0,red,0,0,3232,250001,8.080856419640986,0.7413366336633663,0.10767326732673267,0.09591584158415842,0.1707920792079208,0.4396658415841584,0.06590346534653466,0.01485148514851485,0.037606837606837605,0.1561771561771562,0.09090909090909091,1,0,0,0,0,0,0,0
"Census Tract 58.02, District of Columbia, District of Columbia",2020,EVENING,318,13,305,Metro Center,133.4321718069952,Metro Center,MetroStnPt_24,1,5,"red, blue, orange, silver",0,1,1799,162500,7.4949862339505335,0.6425792106725959,0.08838243468593664,0.14785992217898833,0.2962757087270706,0.5575319622012229,0.033351862145636464,0.03668704836020011,0,0.5612745098039216,0.20220588235294118,1,0,0,1,1,1,1,0
